Country,Question ID,Response,Justification,Supporting0,Supporting1,Supporting2,Supporting4
Argentina,ODB.2013.D10.a,1,,"Theres is a lot of data collected but a great part of it is not shared, or in some cases it is accessible internally. There is a Unity of Monitoring within the Subsecretaría del Comercio Exterior (Ministerio de Economía y Finanzas Públicas) that has the legal mandate of providing updated information on foreign trade to different areas of the Ministry of Foreign Trade. In fact it mentions they have developed various tech tools for information management, allowing easy and dynamic access to data on foreign trade within the Secretariat and other areas of the Ministry. It produces some data that is shared through the Instituto Nacional de Estadística y Censos as reports.",,,
Argentina,ODB.2013.D10.b,1,,"INDEC provides a map (1) showing theorigin and destination of products exported.

(1): http://www.opex.sig.indec.gov.ar/comex/index.php?pagina=mapa_dinamico
(2): Subsecretaría del Comercio Exterior, http://www.mecon.gov.ar/comercioexterior/ provides several reports, only updated until 2013 (see http://www.mecon.gov.ar/comercioexterior/docs/ica_10_13.pdf)",No,,
Argentina,ODB.2013.D12.a,1,,"There are databases which are in charge of the Dirección Nacional de Información y Evaluación de la Calidad Educativa (1), part of the Ministerio de Educación (2). However the mayor part of this data is not up to date. INDEC also provides several datasets in Excel files (3). Finally, the Argentinian Data Portal also provides some outdated datasets (4)

(1): http://portales.educacion.gov.ar/diniece/
(2): http://portal.educacion.gov.ar/
(3): http://www.indec.mecon.ar/desaweb/nivel4_default.asp?id_tema_1=4&id_tema_2=33&id_tema_3=98
(4): http://datospublicos.gov.ar/data/dataset?organization=ministerio-de-educacion",,,
Argentina,ODB.2013.D12.b,1,,"(1): http://portales.educacion.gov.ar/diniece/
(2): http://portal.educacion.gov.ar/
(3): http://www.indec.mecon.ar/desaweb/nivel4_default.asp?id_tema_1=4&id_tema_2=33&id_tema_3=98
(4): http://datospublicos.gov.ar/data/dataset?organization=ministerio-de-educacion",No,,
Argentina,ODB.2013.D13.a,1,,"There are databases collected from different governmental institutions. On one hand there are all the provincial authorities of the Dirección Nacional de Política Criminal (Ministerio de Justicia), which inform and produce a national database. This data refers to certain types of crimes and in not up to date (last report dates from 2012).

There are also some databases produced by government and shared between public bodies in charge of security but not publicly. This is the case of the Dirección Nacional de Gestión de la Información Criminal (Ministerio de Seguridad)",,,
Argentina,ODB.2013.D13.b,1,,"(1): Dirección Nacional de Política Criminal, http://www.jus.gob.ar/areas-tematicas/estadisticas-de-politica-criminal/mapa.aspx, Accessed on 13th May, 2014
(2): Kidnappings http://datospublicos.gov.ar/data/dataset/secuestros-de-empresarios Accessed September 29th, 2014","(1): Dirección Nacional de Gestión de la Información Criminal, http://www.utdt.edu/ver_contenido.php?id_contenido=968&id_item_menu=2156, Accessed on 13th May, 2014",,
Argentina,ODB.2013.D14.a,1,,"There is environmental statistics data available, but the most part of it, even if it is shared, in not updated. The principal responsible for this type of data is the Dirección de Impacto Ambiental y Social (1), part of the Secretaría Ambiente y Desarrollo Sustentable de la Nación. They have various statistic (not updated) and they have developed the Sistema de Indicadores de Desarrollo Sostenible, but even these are out of date.

There is also some of these data, in the national level, in the hands of the Ministerio de Agricultura, Ganadería y Pesca (2) and at the Subsecretaría de Recursos Hídricos, but the latter asks for personal information in order to provide the data (3). Also at the provincial level there are the environmental or sustainable development offices that owe their own data.

(1): http://www.ambiente.gov.ar/?idseccion=16
(2): http://www.siia.gov.ar/_apps/siia/arbol/total_pciaX.php?respuesta=M
(3): http://bdhi.hidricosargentina.gov.ar/sitioweb/frmInicial.aspx",,,
Argentina,ODB.2013.D14.b,1,,"(1): Dirección de Impacto Ambiental y Social, http://www.ambiente.gov.ar/?idseccion=211, Accessed on September 29th, 2014
(2): Dirección de Impacto Ambiental y Social, http://www.ambiente.gov.ar/archivos/web/Indicadores/file/publicaciones/Indicadores_2012_OscarA4.pdf  Accessed on September 29th, 20142014
(3): Dirección de Impacto Ambiental y Social, http://www.ambiente.gob.ar/observatoriorsu/informacion_general/estadisticas.html Accessed on September 29th, 2014
(5): Sistema Integrado de Informacion Agropecuaria del Ministerio de Agricultura, Ganadería y Pesca, http://www.siia.gov.ar/_apps/siia/arbol/total_pciaX.php?respuesta=M Accessed on September 29th, 2014
(6): Subsecretaría de Recursos hídricos, http://www.hidricosargentina.gov.ar/ Accessed on September 29th, 2014",No,,
Argentina,ODB.2013.D15.a,1,,"The responsible for this data is the Dirección Nacional Electoral (1)

(1): http://www.elecciones.gov.ar/",,,
Argentina,ODB.2013.D15.b,1,,"(1): Dirección Nacional Electoral, http://www.elecciones.gov.ar/nota_home.php?id_nota=25#.VCpX5ildU7s Accessed on September 29th, 2014
(2): Portal de Datos Públicos, http://datospublicos.gov.ar/data/dataset/resultados-electorales, Accessed on September 29th, 2014",No,,
